Model,Embedding,Experiment,Accuracy,F1,Recall,Precision
NaiveBayes,GloVe,E0,0.54,0.56,0.54,0.61
LogReg,GloVe,E0,0.71,0.71,0.71,0.71
SVM,GloVe,E0,0.73,0.72,0.73,0.73
XGBoost,GloVe,E0,0.69,0.68,0.69,0.69
RandomForest,GloVe,E0,0.62,0.52,0.62,0.48
AdaBoost,GloVe,E0,0.66,0.66,0.66,0.66
NaiveBayes,Tf-idf,E0,0.48,0.4,0.48,0.57
LogReg,Tf-idf,E0,0.58,0.57,0.58,0.59
SVM,Tf-idf,E0,0.58,0.56,0.58,0.59
XGBoost,Tf-idf,E0,0.57,0.57,0.57,0.57
RandomForest,Tf-idf,E0,0.38,0.23,0.38,0.35
AdaBoost,Tf-idf,E0,0.47,0.47,0.47,0.47
NaiveBayes,SentEmbeddings,E0,0.55,0.55,0.55,0.57
LogReg,SentEmbeddings,E0,0.69,0.67,0.69,0.7
SVM,SentEmbeddings,E0,0.74,0.73,0.74,0.74
XGBoost,SentEmbeddings,E0,0.68,0.68,0.68,0.68
RandomForest,SentEmbeddings,E0,0.53,0.44,0.53,0.38
AdaBoost,SentEmbeddings,E0,0.63,0.62,0.63,0.63
NaiveBayes,BoW,E0,0.52,0.51,0.52,0.52
LogReg,BoW,E0,0.61,0.6,0.61,0.6
SVM,BoW,E0,0.59,0.57,0.59,0.59
XGBoost,BoW,E0,0.58,0.58,0.58,0.58
RandomForest,BoW,E0,0.38,0.23,0.38,0.31
AdaBoost,BoW,E0,0.49,0.48,0.49,0.49
NaiveBayes,Fasttext,E0,0.55,0.57,0.55,0.62
LogReg,Fasttext,E0,0.72,0.72,0.72,0.73
SVM,Fasttext,E0,0.73,0.73,0.73,0.74
XGBoost,Fasttext,E0,0.69,0.69,0.69,0.69
RandomForest,Fasttext,E0,0.62,0.53,0.62,0.49
AdaBoost,Fasttext,E0,0.65,0.65,0.65,0.65
NaiveBayes,Word2Vec,E0,0.47,0.48,0.47,0.54
LogReg,Word2Vec,E0,0.69,0.67,0.69,0.72
SVM,Word2Vec,E0,0.67,0.64,0.67,0.7
XGBoost,Word2Vec,E0,0.7,0.7,0.7,0.7
RandomForest,Word2Vec,E0,0.63,0.54,0.63,0.5
AdaBoost,Word2Vec,E0,0.67,0.66,0.67,0.66
NaiveBayes,GloVe,E1,0.46,0.48,0.46,0.55
LogReg,GloVe,E1,0.64,0.63,0.64,0.64
SVM,GloVe,E1,0.65,0.62,0.65,0.65
XGBoost,GloVe,E1,0.62,0.61,0.62,0.61
RandomForest,GloVe,E1,0.56,0.46,0.56,0.46
AdaBoost,GloVe,E1,0.59,0.57,0.59,0.57
NaiveBayes,Tf-idf,E1,0.45,0.32,0.45,0.44
LogReg,Tf-idf,E1,0.54,0.52,0.54,0.54
SVM,Tf-idf,E1,0.53,0.5,0.53,0.55
XGBoost,Tf-idf,E1,0.5,0.48,0.5,0.49
RandomForest,Tf-idf,E1,0.42,0.25,0.42,0.18
AdaBoost,Tf-idf,E1,0.46,0.44,0.46,0.45
NaiveBayes,SentEmbeddings,E1,0.47,0.48,0.47,0.52
LogReg,SentEmbeddings,E1,0.63,0.6,0.63,0.64
SVM,SentEmbeddings,E1,0.66,0.63,0.66,0.67
XGBoost,SentEmbeddings,E1,0.61,0.6,0.61,0.6
RandomForest,SentEmbeddings,E1,0.45,0.32,0.45,0.38
AdaBoost,SentEmbeddings,E1,0.55,0.54,0.55,0.54
NaiveBayes,BoW,E1,0.48,0.44,0.48,0.47
LogReg,BoW,E1,0.55,0.55,0.55,0.55
SVM,BoW,E1,0.56,0.53,0.56,0.56
XGBoost,BoW,E1,0.49,0.48,0.49,0.49
RandomForest,BoW,E1,0.42,0.25,0.42,0.18
AdaBoost,BoW,E1,0.46,0.43,0.46,0.45
NaiveBayes,Fasttext,E1,0.47,0.49,0.47,0.56
LogReg,Fasttext,E1,0.66,0.65,0.66,0.66
SVM,Fasttext,E1,0.66,0.63,0.66,0.67
XGBoost,Fasttext,E1,0.63,0.63,0.63,0.63
RandomForest,Fasttext,E1,0.6,0.49,0.6,0.46
AdaBoost,Fasttext,E1,0.6,0.59,0.6,0.58
NaiveBayes,Word2Vec,E1,0.38,0.38,0.38,0.49
LogReg,Word2Vec,E1,0.63,0.6,0.63,0.64
SVM,Word2Vec,E1,0.61,0.51,0.61,0.6
XGBoost,Word2Vec,E1,0.64,0.63,0.64,0.63
RandomForest,Word2Vec,E1,0.6,0.49,0.6,0.46
AdaBoost,Word2Vec,E1,0.61,0.59,0.61,0.59
NaiveBayes,GloVe,E2,0.5,0.52,0.5,0.58
LogReg,GloVe,E2,0.67,0.67,0.67,0.68
SVM,GloVe,E2,0.69,0.67,0.69,0.69
XGBoost,GloVe,E2,0.66,0.66,0.66,0.66
RandomForest,GloVe,E2,0.59,0.49,0.59,0.48
AdaBoost,GloVe,E2,0.62,0.61,0.62,0.61
NaiveBayes,Tf-idf,E2,0.46,0.34,0.46,0.5
LogReg,Tf-idf,E2,0.56,0.55,0.56,0.57
SVM,Tf-idf,E2,0.56,0.52,0.56,0.57
XGBoost,Tf-idf,E2,0.52,0.52,0.52,0.52
RandomForest,Tf-idf,E2,0.43,0.26,0.43,0.18
AdaBoost,Tf-idf,E2,0.48,0.47,0.48,0.48
NaiveBayes,SentEmbeddings,E2,0.5,0.51,0.5,0.55
LogReg,SentEmbeddings,E2,0.66,0.63,0.66,0.67
SVM,SentEmbeddings,E2,0.7,0.68,0.7,0.71
XGBoost,SentEmbeddings,E2,0.65,0.64,0.65,0.64
RandomForest,SentEmbeddings,E2,0.47,0.35,0.47,0.41
AdaBoost,SentEmbeddings,E2,0.58,0.57,0.58,0.57
NaiveBayes,BoW,E2,0.5,0.47,0.5,0.49
LogReg,BoW,E2,0.59,0.59,0.59,0.59
SVM,BoW,E2,0.59,0.57,0.59,0.59
XGBoost,BoW,E2,0.53,0.52,0.53,0.53
RandomForest,BoW,E2,0.43,0.26,0.43,0.18
AdaBoost,BoW,E2,0.48,0.47,0.48,0.48
NaiveBayes,Fasttext,E2,0.5,0.52,0.5,0.59
LogReg,Fasttext,E2,0.69,0.69,0.69,0.7
SVM,Fasttext,E2,0.7,0.69,0.7,0.71
XGBoost,Fasttext,E2,0.67,0.67,0.67,0.67
RandomForest,Fasttext,E2,0.62,0.52,0.62,0.48
AdaBoost,Fasttext,E2,0.63,0.62,0.63,0.61
NaiveBayes,Word2Vec,E2,0.4,0.4,0.4,0.52
LogReg,Word2Vec,E2,0.66,0.63,0.66,0.68
SVM,Word2Vec,E2,0.63,0.55,0.63,0.64
XGBoost,Word2Vec,E2,0.67,0.66,0.67,0.66
RandomForest,Word2Vec,E2,0.62,0.52,0.62,0.48
AdaBoost,Word2Vec,E2,0.64,0.62,0.64,0.62
NaiveBayes,GloVe,E3,0.51,0.52,0.51,0.58
LogReg,GloVe,E3,0.69,0.68,0.69,0.69
SVM,GloVe,E3,0.71,0.69,0.71,0.71
XGBoost,GloVe,E3,0.67,0.67,0.67,0.67
RandomForest,GloVe,E3,0.59,0.5,0.59,0.48
AdaBoost,GloVe,E3,0.64,0.63,0.64,0.63
NaiveBayes,Tf-idf,E3,0.47,0.36,0.47,0.49
LogReg,Tf-idf,E3,0.59,0.57,0.59,0.59
SVM,Tf-idf,E3,0.57,0.55,0.57,0.59
XGBoost,Tf-idf,E3,0.55,0.54,0.55,0.55
RandomForest,Tf-idf,E3,0.41,0.24,0.41,0.17
AdaBoost,Tf-idf,E3,0.51,0.49,0.51,0.5
NaiveBayes,SentEmbeddings,E3,0.52,0.53,0.52,0.56
LogReg,SentEmbeddings,E3,0.67,0.65,0.67,0.69
SVM,SentEmbeddings,E3,0.72,0.71,0.72,0.73
XGBoost,SentEmbeddings,E3,0.68,0.67,0.68,0.67
RandomForest,SentEmbeddings,E3,0.48,0.38,0.48,0.4
AdaBoost,SentEmbeddings,E3,0.6,0.6,0.6,0.6
NaiveBayes,BoW,E3,0.51,0.49,0.51,0.51
LogReg,BoW,E3,0.62,0.61,0.62,0.61
SVM,BoW,E3,0.6,0.59,0.6,0.61
XGBoost,BoW,E3,0.56,0.55,0.56,0.56
RandomForest,BoW,E3,0.41,0.24,0.41,0.17
AdaBoost,BoW,E3,0.49,0.48,0.49,0.49
NaiveBayes,Fasttext,E3,0.52,0.54,0.52,0.59
LogReg,Fasttext,E3,0.71,0.7,0.71,0.72
SVM,Fasttext,E3,0.72,0.71,0.72,0.73
XGBoost,Fasttext,E3,0.69,0.69,0.69,0.69
RandomForest,Fasttext,E3,0.62,0.52,0.62,0.48
AdaBoost,Fasttext,E3,0.64,0.63,0.64,0.63
NaiveBayes,Word2Vec,E3,0.42,0.42,0.42,0.5
LogReg,Word2Vec,E3,0.67,0.64,0.67,0.69
SVM,Word2Vec,E3,0.65,0.6,0.65,0.67
XGBoost,Word2Vec,E3,0.69,0.68,0.69,0.68
RandomForest,Word2Vec,E3,0.62,0.52,0.62,0.48
AdaBoost,Word2Vec,E3,0.65,0.63,0.65,0.63
NaiveBayes,GloVe,E4,0.52,0.54,0.52,0.59
LogReg,GloVe,E4,0.71,0.71,0.71,0.71
SVM,GloVe,E4,0.72,0.71,0.72,0.73
XGBoost,GloVe,E4,0.69,0.68,0.69,0.68
RandomForest,GloVe,E4,0.6,0.51,0.6,0.49
AdaBoost,GloVe,E4,0.64,0.64,0.64,0.63
NaiveBayes,Tf-idf,E4,0.47,0.37,0.47,0.61
LogReg,Tf-idf,E4,0.6,0.58,0.6,0.6
SVM,Tf-idf,E4,0.58,0.56,0.58,0.6
XGBoost,Tf-idf,E4,0.57,0.56,0.57,0.57
RandomForest,Tf-idf,E4,0.41,0.24,0.41,0.17
AdaBoost,Tf-idf,E4,0.5,0.49,0.5,0.49
NaiveBayes,SentEmbeddings,E4,0.53,0.54,0.53,0.57
LogReg,SentEmbeddings,E4,0.69,0.66,0.69,0.7
SVM,SentEmbeddings,E4,0.73,0.72,0.73,0.74
XGBoost,SentEmbeddings,E4,0.69,0.68,0.69,0.68
RandomForest,SentEmbeddings,E4,0.49,0.39,0.49,0.4
AdaBoost,SentEmbeddings,E4,0.61,0.6,0.61,0.61
NaiveBayes,BoW,E4,0.52,0.5,0.52,0.53
LogReg,BoW,E4,0.63,0.62,0.63,0.62
SVM,BoW,E4,0.61,0.6,0.61,0.61
XGBoost,BoW,E4,0.57,0.57,0.57,0.57
RandomForest,BoW,E4,0.41,0.24,0.41,0.17
AdaBoost,BoW,E4,0.51,0.5,0.51,0.5
NaiveBayes,Fasttext,E4,0.53,0.55,0.53,0.6
LogReg,Fasttext,E4,0.73,0.72,0.73,0.73
SVM,Fasttext,E4,0.74,0.73,0.74,0.74
XGBoost,Fasttext,E4,0.71,0.7,0.71,0.7
RandomForest,Fasttext,E4,0.63,0.53,0.63,0.49
AdaBoost,Fasttext,E4,0.65,0.65,0.65,0.65
NaiveBayes,Word2Vec,E4,0.42,0.42,0.42,0.5
LogReg,Word2Vec,E4,0.68,0.66,0.68,0.7
SVM,Word2Vec,E4,0.67,0.62,0.67,0.7
XGBoost,Word2Vec,E4,0.7,0.7,0.7,0.7
RandomForest,Word2Vec,E4,0.63,0.53,0.63,0.49
AdaBoost,Word2Vec,E4,0.65,0.64,0.65,0.64
